TimeStamp,EventID,Parameter,Signal,Cycle,CL,YellowStart,RedStart,GreenStart,GreenTime,AIC,TUG,SSC,Headway,ODT,Gap,ODTR,GapR,Int,Det
2022-12-14T15:11:51.400Z,82,11,G,6,120,2022-12-14T15:10:42Z,2022-12-14T15:10:45.600Z,2022-12-14T15:11:32.600Z,50.6,69.4,0,GG,2.4,1.6,0.8,1.2308,1.1429,3rd,stop
2022-12-14T15:11:52.800Z,82,10,G,6,120,2022-12-14T15:10:42Z,2022-12-14T15:10:45.600Z,2022-12-14T15:11:32.600Z,50.6,70.8,0,GG,3.5,2.7,0.8,2.25,0.6154,3rd,stop
2022-12-14T15:11:53.800Z,82,11,G,6,120,2022-12-14T15:10:42Z,2022-12-14T15:10:45.600Z,2022-12-14T15:11:32.600Z,50.6,71.8,0,GG,2,1.3,0.7,1.0833,1.1667,3rd,stop
2022-12-14T15:11:55.800Z,82,11,G,6,120,2022-12-14T15:10:42Z,2022-12-14T15:10:45.600Z,2022-12-14T15:11:32.600Z,50.6,73.8,0,GG,1.8,1.2,0.6,1,0.2308,3rd,stop
2022-12-14T15:11:56.300Z,82,10,G,6,120,2022-12-14T15:10:42Z,2022-12-14T15:10:45.600Z,2022-12-14T15:11:32.600Z,50.6,74.3,0,GG,2.5,1.2,1.3,1,2.6,3rd,stop
2022-12-14T15:11:57.600Z,82,11,G,6,120,2022-12-14T15:10:42Z,2022-12-14T15:10:45.600Z,2022-12-14T15:11:32.600Z,50.6,75.6,0,GG,3.8,1.2,2.6,0.5,2.3636,3rd,stop
2022-12-14T15:11:58.800Z,82,10,G,6,120,2022-12-14T15:10:42Z,2022-12-14T15:10:45.600Z,2022-12-14T15:11:32.600Z,50.6,76.8,0,GG,1.7,1.2,0.5,0.48,0.3333,3rd,stop
2022-12-14T15:12:00.500Z,82,10,G,6,120,2022-12-14T15:10:42Z,2022-12-14T15:10:45.600Z,2022-12-14T15:11:32.600Z,50.6,78.5,0,GG,4,2.5,1.5,2.2727,0.4054,3rd,stop
2022-12-14T15:12:01.400Z,82,11,G,6,120,2022-12-14T15:10:42Z,2022-12-14T15:10:45.600Z,2022-12-14T15:11:32.600Z,50.6,79.4,0,GG,3.5,2.4,1.1,2,1.375,3rd,stop
2022-12-14T15:12:04.500Z,82,10,G,6,120,2022-12-14T15:10:42Z,2022-12-14T15:10:45.600Z,2022-12-14T15:11:32.600Z,50.6,82.5,0,GG,4.8,1.1,3.7,1.1,1,3rd,stop
